,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2212000,2015,5,21,4,AA,2342,N3BCAA,DEN,MIA,130,126.0,-4.0,15.0,141.0,229.0,226.0,198.0,1709,659.0,13.0,719,712.0,-7.0,0,0,,,,,,
2213000,2015,5,21,4,OO,6230,N797SK,COS,DEN,616,615.0,-1.0,17.0,632.0,44.0,49.0,27.0,73,659.0,5.0,700,704.0,4.0,0,0,,,,,,
2214000,2015,5,21,4,DL,418,N721TW,SEA,JFK,710,706.0,-4.0,19.0,725.0,328.0,314.0,284.0,2422,1509.0,11.0,1538,1520.0,-18.0,0,0,,,,,,
2215000,2015,5,21,4,WN,352,N8640D,PHX,DAL,805,812.0,7.0,8.0,820.0,145.0,126.0,113.0,879,1213.0,5.0,1230,1218.0,-12.0,0,0,,,,,,
2216000,2015,5,21,4,DL,1319,N959AT,ORD,DTW,902,904.0,2.0,13.0,917.0,78.0,74.0,51.0,235,1108.0,10.0,1120,1118.0,-2.0,0,0,,,,,,
2217000,2015,5,21,4,US,491,N602AW,LAX,PHX,1005,1001.0,-4.0,13.0,1014.0,78.0,80.0,62.0,370,1116.0,5.0,1123,1121.0,-2.0,0,0,,,,,,
2218000,2015,5,21,4,EV,4266,N14977,IAH,GSP,1100,1058.0,-2.0,52.0,1150.0,136.0,166.0,110.0,837,1440.0,4.0,1416,1444.0,28.0,0,0,,28.0,0.0,0.0,0.0,0.0
2219000,2015,5,21,4,DL,699,N983AT,GRR,DTW,1200,1158.0,-2.0,8.0,1206.0,55.0,41.0,27.0,120,1233.0,6.0,1255,1239.0,-16.0,0,0,,,,,,
2220000,2015,5,21,4,DL,2680,N922AT,LGA,BOS,1259,1256.0,-3.0,20.0,1316.0,79.0,63.0,38.0,184,1354.0,5.0,1418,1359.0,-19.0,0,0,,,,,,
2221000,2015,5,21,4,OO,5538,N947SW,MFR,SFO,1357,1500.0,63.0,11.0,1511.0,83.0,79.0,60.0,329,1611.0,8.0,1520,1619.0,59.0,0,0,,49.0,0.0,0.0,10.0,0.0
2222000,2015,5,21,4,WN,4017,N7702A,RDU,BWI,1500,1512.0,12.0,14.0,1526.0,70.0,68.0,45.0,255,1611.0,9.0,1610,1620.0,10.0,0,0,,,,,,
2223000,2015,5,21,4,AA,2234,N481AA,MCI,ORD,1600,1615.0,15.0,12.0,1627.0,92.0,86.0,56.0,403,1723.0,18.0,1732,1741.0,9.0,0,0,,,,,,
2224000,2015,5,21,4,DL,2065,N808DN,ATL,FLL,1700,1658.0,-2.0,13.0,1711.0,115.0,99.0,84.0,581,1835.0,2.0,1855,1837.0,-18.0,0,0,,,,,,
2225000,2015,5,21,4,UA,664,N463UA,PHL,IAH,1754,1802.0,8.0,19.0,1821.0,221.0,227.0,195.0,1325,2036.0,13.0,2035,2049.0,14.0,0,0,,,,,,
2226000,2015,5,21,4,UA,365,N838UA,DFW,ORD,1854,2003.0,69.0,12.0,2015.0,144.0,123.0,99.0,802,2154.0,12.0,2118,2206.0,48.0,0,0,,0.0,0.0,3.0,45.0,0.0
2227000,2015,5,21,4,AA,1687,N009AA,MIA,ATL,1955,1953.0,-2.0,15.0,2008.0,121.0,112.0,88.0,594,2136.0,9.0,2156,2145.0,-11.0,0,0,,,,,,
2228000,2015,5,21,4,MQ,3473,N809MQ,LGA,DAY,2105,2110.0,5.0,19.0,2129.0,115.0,116.0,92.0,549,2301.0,5.0,2300,2306.0,6.0,0,0,,,,,,
2229000,2015,5,21,4,UA,1603,N69839,SEA,ORD,2318,2319.0,1.0,13.0,2332.0,230.0,219.0,201.0,1721,453.0,5.0,508,458.0,-10.0,0,0,,,,,,
2230000,2015,5,22,5,WN,2585,N220WN,BNA,RDU,605,601.0,-4.0,9.0,610.0,85.0,76.0,63.0,442,813.0,4.0,830,817.0,-13.0,0,0,,,,,,
2231000,2015,5,22,5,VX,1780,N625VA,SEA,LAX,700,659.0,-1.0,11.0,710.0,155.0,145.0,127.0,954,917.0,7.0,935,924.0,-11.0,0,0,,,,,,
2232000,2015,5,22,5,WN,2852,N262WN,GEG,OAK,755,752.0,-3.0,9.0,801.0,125.0,118.0,103.0,723,944.0,6.0,1000,950.0,-10.0,0,0,,,,,,
2233000,2015,5,22,5,EV,4589,N17560,IAH,LIT,850,847.0,-3.0,13.0,900.0,87.0,74.0,54.0,374,954.0,7.0,1017,1001.0,-16.0,0,0,,,,,,
2234000,2015,5,22,5,EV,5405,N741EV,LGA,CLE,950,942.0,-8.0,30.0,1012.0,116.0,102.0,69.0,419,1121.0,3.0,1146,1124.0,-22.0,0,0,,,,,,
2235000,2015,5,22,5,B6,1927,N292JB,BOS,BWI,1045,1041.0,-4.0,11.0,1052.0,86.0,81.0,66.0,369,1158.0,4.0,1211,1202.0,-9.0,0,0,,,,,,
2236000,2015,5,22,5,US,1831,N193UW,CLT,MIA,1145,1149.0,4.0,25.0,1214.0,125.0,126.0,93.0,650,1347.0,8.0,1350,1355.0,5.0,0,0,,,,,,
2237000,2015,5,22,5,UA,1483,N39418,LAX,DEN,1240,1248.0,8.0,12.0,1300.0,139.0,130.0,112.0,862,1552.0,6.0,1559,1558.0,-1.0,0,0,,,,,,
2238000,2015,5,22,5,EV,4282,N13123,ORD,BTV,1345,1340.0,-5.0,13.0,1353.0,128.0,117.0,93.0,763,1626.0,11.0,1653,1637.0,-16.0,0,0,,,,,,
2239000,2015,5,22,5,WN,562,N8620H,MDW,FLL,1445,1441.0,-4.0,16.0,1457.0,175.0,170.0,148.0,1167,1825.0,6.0,1840,1831.0,-9.0,0,0,,,,,,
2240000,2015,5,22,5,OO,2897,N464SW,LAX,SAN,1540,1536.0,-4.0,15.0,1551.0,46.0,44.0,26.0,109,1617.0,3.0,1626,1620.0,-6.0,0,0,,,,,,
2241000,2015,5,22,5,EV,3954,N15985,EWR,GSP,1645,1651.0,6.0,21.0,1712.0,125.0,118.0,93.0,594,1845.0,4.0,1850,1849.0,-1.0,0,0,,,,,,
2242000,2015,5,22,5,AS,201,N703AS,SJC,SEA,1740,1733.0,-7.0,11.0,1744.0,118.0,120.0,102.0,697,1926.0,7.0,1938,1933.0,-5.0,0,0,,,,,,
2243000,2015,5,22,5,NK,440,N523NK,CLE,BOS,1838,1843.0,5.0,14.0,1857.0,109.0,96.0,76.0,563,2013.0,6.0,2027,2019.0,-8.0,0,0,,,,,,
2244000,2015,5,22,5,B6,65,N709JB,JFK,ABQ,1936,1935.0,-1.0,50.0,2025.0,314.0,323.0,264.0,1826,2249.0,9.0,2250,2258.0,8.0,0,0,,,,,,
2245000,2015,5,22,5,WN,940,N382SW,BWI,BHM,2045,2041.0,-4.0,20.0,2101.0,125.0,127.0,102.0,682,2143.0,5.0,2150,2148.0,-2.0,0,0,,,,,,
2246000,2015,5,22,5,WN,1245,N288WN,RNO,LAS,2225,2221.0,-4.0,8.0,2229.0,70.0,67.0,55.0,345,2324.0,4.0,2335,2328.0,-7.0,0,0,,,,,,
2247000,2015,5,23,6,EV,4556,N14573,VPS,IAH,615,609.0,-6.0,10.0,619.0,116.0,118.0,98.0,528,757.0,10.0,811,807.0,-4.0,0,0,,,,,,
2248000,2015,5,23,6,EV,5571,N738EV,RIC,BOS,715,713.0,-2.0,7.0,720.0,95.0,82.0,70.0,474,830.0,5.0,850,835.0,-15.0,0,0,,,,,,
2249000,2015,5,23,6,VX,108,N361VA,LAX,IAD,825,824.0,-1.0,12.0,836.0,300.0,282.0,262.0,2288,1558.0,8.0,1625,1606.0,-19.0,0,0,,,,,,
2250000,2015,5,23,6,AA,1682,N3MCAA,ORD,LGA,930,930.0,0.0,16.0,946.0,131.0,117.0,90.0,733,1216.0,11.0,1241,1227.0,-14.0,0,0,,,,,,
2251000,2015,5,23,6,WN,1062,N751SW,SDF,DEN,1035,1031.0,-4.0,9.0,1040.0,175.0,179.0,161.0,1024,1121.0,9.0,1130,1130.0,0.0,0,0,,,,,,
2252000,2015,5,23,6,AA,1191,N583AA,DFW,BNA,1149,1202.0,13.0,19.0,1221.0,110.0,109.0,84.0,631,1345.0,6.0,1339,1351.0,12.0,0,0,,,,,,
2253000,2015,5,23,6,WN,2727,N765SW,DAL,LAS,1255,1251.0,-4.0,11.0,1302.0,175.0,161.0,145.0,1067,1327.0,5.0,1350,1332.0,-18.0,0,0,,,,,,
2254000,2015,5,23,6,EV,4724,N16976,ORD,CAE,1405,1405.0,0.0,19.0,1424.0,116.0,109.0,85.0,667,1649.0,5.0,1701,1654.0,-7.0,0,0,,,,,,
2255000,2015,5,23,6,AA,26,N3ATAA,ORD,BOS,1520,1547.0,27.0,12.0,1559.0,147.0,128.0,109.0,867,1848.0,7.0,1847,1855.0,8.0,0,0,,,,,,
2256000,2015,5,23,6,AA,1465,N3ABAA,TPA,MIA,1640,1830.0,110.0,11.0,1841.0,62.0,87.0,45.0,204,1926.0,31.0,1742,1957.0,135.0,0,0,,25.0,0.0,0.0,0.0,110.0
2257000,2015,5,23,6,F9,159,N934FR,DSM,DEN,1755,2141.0,226.0,6.0,2147.0,107.0,104.0,89.0,589,2216.0,9.0,1842,2225.0,223.0,0,0,,212.0,0.0,0.0,11.0,0.0
2258000,2015,5,23,6,WN,1684,N8626B,BNA,PHL,1930,2004.0,34.0,8.0,2012.0,115.0,104.0,90.0,675,2242.0,6.0,2225,2248.0,23.0,0,0,,0.0,0.0,23.0,0.0,0.0
2259000,2015,5,23,6,DL,2637,N328NB,ATL,AGS,2202,2200.0,-2.0,12.0,2212.0,58.0,42.0,26.0,143,2238.0,4.0,2300,2242.0,-18.0,0,0,,,,,,
2260000,2015,5,24,7,AA,986,N3LWAA,BDL,DFW,645,638.0,-7.0,11.0,649.0,243.0,245.0,217.0,1471,926.0,17.0,948,943.0,-5.0,0,0,,,,,,
2261000,2015,5,24,7,UA,1471,N12221,ORD,LGA,800,759.0,-1.0,10.0,809.0,133.0,117.0,97.0,733,1046.0,10.0,1113,1056.0,-17.0,0,0,,,,,,
2262000,2015,5,24,7,DL,1551,N911DE,MSP,BDL,915,909.0,-6.0,33.0,942.0,156.0,163.0,124.0,1050,1246.0,6.0,1251,1252.0,1.0,0,0,,,,,,
2263000,2015,5,24,7,AA,1210,N4XFAA,DFW,MSP,1030,1057.0,27.0,18.0,1115.0,150.0,130.0,108.0,852,1303.0,4.0,1300,1307.0,7.0,0,0,,,,,,
2264000,2015,5,24,7,EV,5684,N11544,CLL,IAH,1136,1139.0,3.0,6.0,1145.0,44.0,30.0,18.0,74,1203.0,6.0,1220,1209.0,-11.0,0,0,,,,,,
2265000,2015,5,24,7,MQ,3569,N831MQ,JFK,RDU,1240,1302.0,22.0,12.0,1314.0,96.0,80.0,65.0,427,1419.0,3.0,1416,1422.0,6.0,0,0,,,,,,
2266000,2015,5,24,7,AS,449,N536AS,LAX,SEA,1350,1340.0,-10.0,16.0,1356.0,154.0,158.0,135.0,954,1611.0,7.0,1624,1618.0,-6.0,0,0,,,,,,
2267000,2015,5,24,7,OO,4723,N603QX,SLC,LGB,1500,1452.0,-8.0,28.0,1520.0,119.0,122.0,90.0,588,1550.0,4.0,1559,1554.0,-5.0,0,0,,,,,,
2268000,2015,5,24,7,EV,2681,N905EV,LFT,DFW,1610,1602.0,-8.0,12.0,1614.0,84.0,85.0,63.0,351,1717.0,10.0,1734,1727.0,-7.0,0,0,,,,,,
2269000,2015,5,24,7,DL,2598,N968AT,VPS,ATL,1720,1713.0,-7.0,17.0,1730.0,82.0,63.0,40.0,250,1910.0,6.0,1942,1916.0,-26.0,0,0,,,,,,
2270000,2015,5,24,7,UA,1492,N68802,FLL,IAH,1832,2031.0,119.0,12.0,2043.0,173.0,150.0,133.0,966,2156.0,5.0,2025,2201.0,96.0,0,0,,0.0,0.0,0.0,96.0,0.0
2271000,2015,5,24,7,WN,694,N774SW,LAX,ELP,1955,2038.0,43.0,5.0,2043.0,110.0,97.0,89.0,715,2312.0,3.0,2245,2315.0,30.0,0,0,,0.0,0.0,0.0,30.0,0.0
2272000,2015,5,24,7,DL,2491,N933DL,ATL,SDF,2150,2148.0,-2.0,22.0,2210.0,82.0,82.0,53.0,321,2303.0,7.0,2312,2310.0,-2.0,0,0,,,,,,
2273000,2015,5,25,1,DL,1847,N960AT,SGF,ATL,610,604.0,-6.0,11.0,615.0,109.0,100.0,81.0,563,836.0,8.0,859,844.0,-15.0,0,0,,,,,,
2274000,2015,5,25,1,EV,5406,N753EV,SAT,DTW,715,705.0,-10.0,9.0,714.0,184.0,167.0,154.0,1214,1048.0,4.0,1119,1052.0,-27.0,0,0,,,,,,
2275000,2015,5,25,1,OO,2860,N863AS,SAF,LAX,825,1030.0,125.0,18.0,1048.0,129.0,128.0,97.0,710,1125.0,13.0,934,1138.0,124.0,0,0,,0.0,0.0,124.0,0.0,0.0
2276000,2015,5,25,1,MQ,3150,N651MQ,MIA,CVG,930,922.0,-8.0,16.0,938.0,166.0,144.0,124.0,948,1142.0,4.0,1216,1146.0,-30.0,0,0,,,,,,
2277000,2015,5,25,1,WN,240,N795SW,SJC,LAS,1030,1024.0,-6.0,7.0,1031.0,80.0,72.0,59.0,386,1130.0,6.0,1150,1136.0,-14.0,0,0,,,,,,
2278000,2015,5,25,1,AA,324,N3JSAA,ORD,DCA,1135,1129.0,-6.0,8.0,1137.0,110.0,110.0,83.0,612,1400.0,19.0,1425,1419.0,-6.0,0,0,,,,,,
2279000,2015,5,25,1,DL,1899,N3755D,LAX,MSY,1235,1234.0,-1.0,11.0,1245.0,225.0,257.0,241.0,1670,1846.0,5.0,1820,1851.0,31.0,0,0,,31.0,0.0,0.0,0.0,0.0
2280000,2015,5,25,1,B6,1401,N531JB,JFK,FLL,1339,1335.0,-4.0,21.0,1356.0,189.0,172.0,147.0,1069,1623.0,4.0,1648,1627.0,-21.0,0,0,,,,,,
2281000,2015,5,25,1,HA,42,N383HA,OGG,SFO,1435,1431.0,-4.0,18.0,1449.0,295.0,296.0,268.0,2338,2217.0,10.0,2230,2227.0,-3.0,0,0,,,,,,
2282000,2015,5,25,1,DL,2043,N930AT,JFK,BOS,1535,1528.0,-7.0,25.0,1553.0,101.0,70.0,40.0,187,1633.0,5.0,1716,1638.0,-38.0,0,0,,,,,,
2283000,2015,5,25,1,AA,1465,N3BUAA,TPA,MIA,1640,1714.0,34.0,10.0,1724.0,62.0,71.0,44.0,204,1808.0,17.0,1742,1825.0,43.0,0,0,,9.0,0.0,9.0,25.0,0.0
2284000,2015,5,25,1,DL,630,N349NW,DTW,ATL,1735,1735.0,0.0,13.0,1748.0,121.0,189.0,139.0,594,2007.0,37.0,1936,2044.0,68.0,0,0,,68.0,0.0,0.0,0.0,0.0
2285000,2015,5,25,1,DL,1967,N946DL,CHS,ATL,1832,2104.0,152.0,22.0,2126.0,86.0,86.0,54.0,259,2220.0,10.0,1958,2230.0,152.0,0,0,,152.0,0.0,0.0,0.0,0.0
2286000,2015,5,25,1,AA,2326,N016AA,IAH,MIA,1935,,,,,145.0,,,964,,,2300,,,0,1,B,,,,,
2287000,2015,5,25,1,F9,1119,N922FR,CVG,LAS,2040,2244.0,124.0,10.0,2254.0,245.0,242.0,225.0,1678,2339.0,7.0,2145,2346.0,121.0,0,0,,46.0,0.0,10.0,65.0,0.0
2288000,2015,5,25,1,AA,91,N8AAAA,ORD,DFW,2225,2225.0,0.0,15.0,2240.0,152.0,140.0,120.0,802,40.0,5.0,57,45.0,-12.0,0,0,,,,,,
2289000,2015,5,26,2,F9,333,N213FR,MSP,DEN,600,552.0,-8.0,17.0,609.0,120.0,121.0,95.0,680,644.0,9.0,700,653.0,-7.0,0,0,,,,,,
2290000,2015,5,26,2,AA,1180,N3KMAA,SFO,DFW,700,657.0,-3.0,14.0,711.0,215.0,212.0,178.0,1464,1209.0,20.0,1235,1229.0,-6.0,0,0,,,,,,
2291000,2015,5,26,2,UA,559,N458UA,PIT,IAH,745,815.0,30.0,10.0,825.0,187.0,183.0,165.0,1117,1010.0,8.0,952,1018.0,26.0,0,0,,0.0,0.0,11.0,15.0,0.0
2292000,2015,5,26,2,DL,1844,N302NB,DTW,DFW,845,841.0,-4.0,23.0,904.0,169.0,181.0,149.0,986,1033.0,9.0,1034,1042.0,8.0,0,0,,,,,,
2293000,2015,5,26,2,US,1933,N965UW,PHL,ATL,945,941.0,-4.0,11.0,952.0,140.0,118.0,101.0,666,1133.0,6.0,1205,1139.0,-26.0,0,0,,,,,,
2294000,2015,5,26,2,AS,638,N566AS,SEA,LAS,1040,1044.0,4.0,13.0,1057.0,142.0,133.0,113.0,867,1250.0,7.0,1302,1257.0,-5.0,0,0,,,,,,
2295000,2015,5,26,2,WN,4111,N658SW,SAN,SFO,1140,1221.0,41.0,12.0,1233.0,95.0,100.0,67.0,447,1340.0,21.0,1315,1401.0,46.0,0,0,,46.0,0.0,0.0,0.0,0.0
2296000,2015,5,26,2,US,834,N965UW,ATL,PHL,1240,1233.0,-7.0,16.0,1249.0,124.0,112.0,92.0,666,1421.0,4.0,1444,1425.0,-19.0,0,0,,,,,,
2297000,2015,5,26,2,EV,5006,N882AS,ATL,DHN,1343,1339.0,-4.0,13.0,1352.0,52.0,52.0,37.0,170,1329.0,2.0,1335,1331.0,-4.0,0,0,,,,,,
2298000,2015,5,26,2,AS,842,N560AS,LIH,OAK,1445,1439.0,-6.0,11.0,1450.0,319.0,294.0,278.0,2457,2228.0,5.0,2304,2233.0,-31.0,0,0,,,,,,
2299000,2015,5,26,2,UA,1290,N24706,ORD,IAH,1540,1541.0,1.0,13.0,1554.0,173.0,181.0,154.0,925,1828.0,14.0,1833,1842.0,9.0,0,0,,,,,,
2300000,2015,5,26,2,WN,2422,N493WN,MCI,MDW,1645,1703.0,18.0,13.0,1716.0,80.0,81.0,61.0,405,1817.0,7.0,1805,1824.0,19.0,0,0,,1.0,0.0,1.0,17.0,0.0
2301000,2015,5,26,2,WN,1105,N608SW,LAS,ONT,1740,1837.0,57.0,9.0,1846.0,50.0,45.0,32.0,197,1918.0,4.0,1830,1922.0,52.0,0,0,,0.0,0.0,46.0,6.0,0.0
2302000,2015,5,26,2,WN,440,N782SA,TPA,DEN,1840,,,,,235.0,,,1506,,,2035,,,0,1,A,,,,,
2303000,2015,5,26,2,DL,1124,N633DL,ATL,RIC,1942,2231.0,169.0,17.0,2248.0,96.0,88.0,67.0,481,2355.0,4.0,2118,2359.0,161.0,0,0,,0.0,0.0,0.0,4.0,157.0
2304000,2015,5,26,2,OO,5321,N495CA,MKE,ORD,2058,2039.0,-19.0,11.0,2050.0,54.0,41.0,22.0,67,2112.0,8.0,2152,2120.0,-32.0,0,0,,,,,,
2305000,2015,5,26,2,AS,138,N407AS,ANC,ORD,2315,2316.0,1.0,7.0,2323.0,375.0,369.0,352.0,2846,815.0,10.0,830,825.0,-5.0,0,0,,,,,,
2306000,2015,5,27,3,MQ,3352,N827MQ,DAY,LGA,610,605.0,-5.0,11.0,616.0,109.0,102.0,85.0,549,741.0,6.0,759,747.0,-12.0,0,0,,,,,,
2307000,2015,5,27,3,AA,1673,N488AA,DFW,MSP,705,657.0,-8.0,14.0,711.0,144.0,138.0,115.0,852,906.0,9.0,929,915.0,-14.0,0,0,,,,,,
2308000,2015,5,27,3,WN,4379,N411WN,LGA,MKE,800,757.0,-3.0,27.0,824.0,145.0,138.0,106.0,738,910.0,5.0,925,915.0,-10.0,0,0,,,,,,
2309000,2015,5,27,3,DL,794,N363NW,MSP,SLC,900,1027.0,87.0,7.0,1034.0,169.0,152.0,139.0,991,1153.0,6.0,1049,1159.0,70.0,0,0,,0.0,0.0,70.0,0.0,0.0
2310000,2015,5,27,3,WN,1813,N376SW,DEN,LAS,1000,959.0,-1.0,8.0,1007.0,115.0,99.0,87.0,628,1034.0,4.0,1055,1038.0,-17.0,0,0,,,,,,
2311000,2015,5,27,3,EV,4172,N12567,BHM,IAH,1056,1144.0,48.0,19.0,1203.0,115.0,118.0,86.0,562,1329.0,13.0,1251,1342.0,51.0,0,0,,51.0,0.0,0.0,0.0,0.0
2312000,2015,5,27,3,AA,1530,N3CJAA,DCA,DFW,1159,1159.0,0.0,11.0,1210.0,201.0,184.0,163.0,1192,1353.0,10.0,1420,1403.0,-17.0,0,0,,,,,,
2313000,2015,5,27,3,MQ,3513,N8EGMQ,ORD,STL,1255,1358.0,63.0,31.0,1429.0,83.0,92.0,57.0,258,1526.0,4.0,1418,1530.0,72.0,0,0,,9.0,0.0,63.0,0.0,0.0
2314000,2015,5,27,3,WN,670,N607SW,MDW,BNA,1355,1409.0,14.0,12.0,1421.0,80.0,79.0,61.0,395,1522.0,6.0,1515,1528.0,13.0,0,0,,,,,,
2315000,2015,5,27,3,US,2142,N808AW,BOS,DCA,1500,1454.0,-6.0,14.0,1508.0,93.0,97.0,80.0,399,1628.0,3.0,1633,1631.0,-2.0,0,0,,,,,,
2316000,2015,5,27,3,EV,2685,N906EV,DFW,MLU,1559,1644.0,45.0,14.0,1658.0,70.0,60.0,42.0,293,1740.0,4.0,1709,1744.0,35.0,0,0,,0.0,0.0,34.0,1.0,0.0
2317000,2015,5,27,3,DL,1152,N584NW,SEA,HNL,1700,1659.0,-1.0,15.0,1714.0,360.0,366.0,345.0,2677,1959.0,6.0,2000,2005.0,5.0,0,0,,,,,,
2318000,2015,5,27,3,DL,276,N533US,DTW,MCO,1755,1754.0,-1.0,10.0,1804.0,151.0,150.0,131.0,957,2015.0,9.0,2026,2024.0,-2.0,0,0,,,,,,
2319000,2015,5,27,3,DL,1567,N817DN,ATL,SAN,1855,1855.0,0.0,13.0,1908.0,281.0,267.0,250.0,1892,2018.0,4.0,2036,2022.0,-14.0,0,0,,,,,,
2320000,2015,5,27,3,UA,662,N804UA,MSP,ORD,1955,2346.0,231.0,15.0,1.0,89.0,68.0,49.0,334,50.0,4.0,2124,54.0,210.0,0,0,,0.0,0.0,5.0,205.0,0.0
2321000,2015,5,27,3,US,1708,N128UW,PHL,BOS,2115,2123.0,8.0,31.0,2154.0,84.0,86.0,51.0,280,2245.0,4.0,2239,2249.0,10.0,0,0,,,,,,
2322000,2015,5,28,4,UA,1079,N69816,PHX,IAH,500,507.0,7.0,11.0,518.0,150.0,142.0,126.0,1009,924.0,5.0,930,929.0,-1.0,0,0,,,,,,
2323000,2015,5,28,4,WN,739,N358SW,BWI,TPA,620,622.0,2.0,16.0,638.0,145.0,135.0,115.0,842,833.0,4.0,845,837.0,-8.0,0,0,,,,,,
2324000,2015,5,28,4,UA,833,N498UA,BOI,DEN,710,713.0,3.0,50.0,803.0,110.0,137.0,83.0,649,926.0,4.0,900,930.0,30.0,0,0,,30.0,0.0,0.0,0.0,0.0
2325000,2015,5,28,4,AA,1213,N469AA,DFW,SAT,810,830.0,20.0,9.0,839.0,66.0,54.0,43.0,247,922.0,2.0,916,924.0,8.0,0,0,,,,,,
2326000,2015,5,28,4,VX,407,N843VA,JFK,LAX,905,905.0,0.0,42.0,947.0,370.0,371.0,322.0,2475,1209.0,7.0,1215,1216.0,1.0,0,0,,,,,,
2327000,2015,5,28,4,UA,1074,N37466,SFO,ORD,1005,1005.0,0.0,11.0,1016.0,262.0,243.0,215.0,1846,1551.0,17.0,1627,1608.0,-19.0,0,0,,,,,,
2328000,2015,5,28,4,OO,4632,N629BR,SLC,MSO,1100,1058.0,-2.0,12.0,1110.0,91.0,84.0,66.0,436,1216.0,6.0,1231,1222.0,-9.0,0,0,,,,,,
2329000,2015,5,28,4,WN,856,N441WN,DAL,OAK,1200,1204.0,4.0,12.0,1216.0,230.0,219.0,202.0,1468,1338.0,5.0,1350,1343.0,-7.0,0,0,,,,,,
2330000,2015,5,28,4,DL,658,N906AT,FAR,MSP,1300,1302.0,2.0,11.0,1313.0,63.0,55.0,37.0,223,1350.0,7.0,1403,1357.0,-6.0,0,0,,,,,,
2331000,2015,5,28,4,AA,241,N3FNAA,ORD,SFO,1400,1359.0,-1.0,34.0,1433.0,285.0,289.0,251.0,1846,1644.0,4.0,1645,1648.0,3.0,0,0,,,,,,
2332000,2015,5,28,4,UA,244,N469UA,ORD,LGA,1500,1458.0,-2.0,18.0,1516.0,136.0,125.0,102.0,733,1758.0,5.0,1816,1803.0,-13.0,0,0,,,,,,
2333000,2015,5,28,4,DL,2599,N331NW,BNA,ATL,1600,1630.0,30.0,18.0,1648.0,71.0,65.0,37.0,214,1825.0,10.0,1811,1835.0,24.0,0,0,,19.0,0.0,3.0,2.0,0.0
2334000,2015,5,28,4,WN,4915,N739GB,BOS,HOU,1700,1720.0,20.0,37.0,1757.0,265.0,262.0,218.0,1609,2035.0,7.0,2025,2042.0,17.0,0,0,,0.0,0.0,17.0,0.0,0.0
2335000,2015,5,28,4,WN,269,N8657B,BWI,MDW,1755,1802.0,7.0,8.0,1810.0,120.0,107.0,95.0,611,1845.0,4.0,1855,1849.0,-6.0,0,0,,,,,,
2336000,2015,5,28,4,DL,1795,N803DN,SEA,ANC,1855,1848.0,-7.0,21.0,1909.0,214.0,215.0,184.0,1448,2113.0,10.0,2129,2123.0,-6.0,0,0,,,,,,
2337000,2015,5,28,4,WN,2679,N469WN,SJC,BUR,1955,1958.0,3.0,8.0,2006.0,60.0,56.0,45.0,296,2051.0,3.0,2055,2054.0,-1.0,0,0,,,,,,
2338000,2015,5,28,4,UA,1157,N13716,IAH,SEA,2110,2130.0,20.0,14.0,2144.0,286.0,263.0,239.0,1874,2343.0,10.0,2356,2353.0,-3.0,0,0,,,,,,
2339000,2015,5,29,5,AA,2406,N5EJAA,LAX,DFW,59,124.0,25.0,14.0,138.0,175.0,167.0,150.0,1235,608.0,3.0,554,611.0,17.0,0,0,,0.0,0.0,17.0,0.0,0.0
2340000,2015,5,29,5,EV,5270,N859AS,BQK,ATL,615,610.0,-5.0,11.0,621.0,65.0,56.0,42.0,238,703.0,3.0,720,706.0,-14.0,0,0,,,,,,
2341000,2015,5,29,5,AA,1160,N475AA,DFW,RDU,710,745.0,35.0,11.0,756.0,168.0,154.0,140.0,1061,1116.0,3.0,1058,1119.0,21.0,0,0,,0.0,0.0,21.0,0.0,0.0
2342000,2015,5,29,5,US,850,N760US,PWM,CLT,805,757.0,-8.0,14.0,811.0,146.0,125.0,107.0,813,958.0,4.0,1031,1002.0,-29.0,0,0,,,,,,
2343000,2015,5,29,5,OO,2875,N866AS,SAN,LAX,900,851.0,-9.0,22.0,913.0,48.0,50.0,23.0,109,936.0,5.0,948,941.0,-7.0,0,0,,,,,,
2344000,2015,5,29,5,EV,4883,N678CA,OMA,ATL,1003,1001.0,-2.0,13.0,1014.0,129.0,127.0,107.0,821,1301.0,7.0,1312,1308.0,-4.0,0,0,,,,,,
2345000,2015,5,29,5,AA,1133,N3FLAA,LGA,MIA,1100,1049.0,-11.0,30.0,1119.0,195.0,177.0,141.0,1096,1340.0,6.0,1415,1346.0,-29.0,0,0,,,,,,
2346000,2015,5,29,5,AA,1052,N474AA,ORD,RDU,1200,1201.0,1.0,17.0,1218.0,123.0,113.0,91.0,646,1449.0,5.0,1503,1454.0,-9.0,0,0,,,,,,
